filename,target_classes,recording_device,device_placement,recording_environment,scene_description,license,collector_id,non_target_classes
003075.wav,keyboard_typing;keychain,IPhone Xr,static,office,I was working on my laptop and playing with keychain for better concentration.,CC0 (Public Domain Dedication),04d6c4738cd1814c,fan_working;hand_moving_on_table
001117.wav,footsteps,Iphone 15 Pro,mobile,office,"I was walking and recorded a bird singing, car passed by",CC0 (Public Domain Dedication),f125c6e647565367,bird_sing;car
001982.wav,footsteps;door_open_close;cutlery_dishes,Surface Pro 8,static,living_room,"I went to the patio door and opened it. I went back to the table. I first but a cup on the table, then knife, spoon and breakfast board on it.",CC0 (Public Domain Dedication),23f33a22e31d3072,
003018.wav,footsteps;toilet_flushing;running_water,IPhone 15 Pro Max,static,bathroom,I flushed the toilet and walked to the sink. I opened the tap and I cleaned my hands. With a towel I dried my hands.  The toilet water tank was refilling the whole time.,CC0 (Public Domain Dedication),0ada14bcb30cabc5,towel_rustling;coughing;toilet_tank_refilling
002291.wav,light_switch;footsteps,Iphone 15 pro,mobile,bedroom;kitchen;bathroom,I turn on light switches around rooms while walking so you can hear the footsteps,CC0 (Public Domain Dedication),9141efc68a18c882,
000367.wav,footsteps;door_open_close;light_switch;window_open_close,Samsung Galaxy S22,mobile,bedroom,"walked towards the bedroom door, opened it,turned on the lights and went towards the window and opened it.",CC0 (Public Domain Dedication),f92d087490952d78,clothing_rustle
001304.wav,keychain;bell_ringing;door_open_close;light_switch,iPhone 16 Plus,mobile,hallway,"I arrive at the apartment door while holding a keychain. The doorbell rings and I unlock and open the door. After entering, I close the door and switch on the light. Finally, I place the keys on a shelf.","CC-BY 4.0 (Attribution License), Author: Dmytro Bondarenko",6281505830f11d19,keys_drop
001582.wav,footsteps;keyboard_typing;light_switch,iPhone 16 Pro Max,static,bedroom,"I walked the the light switch,turned it on,moved the chair near me,started writting on my keyboard and clicked the mouse.",CC0 (Public Domain Dedication),84173c75aeff1ac5,chair_moving;mouse_clicking
002419.wav,footsteps;running_water,iPhone 15 Pro,mobile,kitchen;living_room,"I stood up, went to the kitchen, filled my glas with fresh water and got back to my seat in the living room. I carried my phone with me.",CC0 (Public Domain Dedication),a40d578fc3f26400,chair_standup;fill_glas
005594.wav,running_water;cutlery_dishes,Iphone 15 Pro,static,kitchen,I stand at the kitchen sink and turn on the water. I wash dishes and cutlery by hand while the water continues running. I place the cleaned dishes back on the counter.,CC0 (Public Domain Dedication),f9b9b8bbf3ef8ceb,fridge_noise
004561.wav,keyboard_typing;phone_ringing;keychain,iPhone 11 Pro Max,static,office,"I coughed and then clicked the mouse. I started typing on the keyboard while holding my keychain. My phone rang and the keychain made noise at the same time. I put the keychain down, stopped typing, and clicked the mouse to stop the ringing.",CC0 (Public Domain Dedication),36324600d97df5e2,coughing;mouse_clicks
000402.wav,keyboard_typing;window_open_close,Samsung Galaxy A54,mobile,room,"I did some typing on a file, then gave a print action. Got up, closed my window, then the printer started printing.","CC-BY 4.0 (Attribution License), Author: Altin Jusufi",cdb0e502ba22f06f,printer_printing
001690.wav,cutlery_dishes;running_water;coffee_machine,Huawei P20 Pro,static,kitchen,"I was making coffee, while washing dishes. The dishwasher was running in the background",CC0 (Public Domain Dedication),b2b28a96c509f8ae,dishwasher_noise
001168.wav,keyboard_typing;footsteps;phone_ringing;wardrobe_drawer_open_close,iPhone 14,mobile,office;kitchen,"I was typing on my laptop, then got up and walked to the kitchen to get a snack. My phone received a few notifications. I pulled open a drawer, grabbed a packet of cookies and closed it. My phone buzzed again as I walked back to my desk.",CC0 (Public Domain Dedication),23f71b201176dc2e,plastic_rustling
004622.wav,cutlery_dishes;phone_ringing,motorola edge 30,static,kitchen,"I unloaded dishes and cutlery in the kitchen. While I was still doing that, the phone started ringing in the background. The dish sounds and the phone were audible at the same time.",CC0 (Public Domain Dedication),3f8613e65e335f2c,
000075.wav,vacuum_cleaner;wardrobe_drawer_open_close;cutlery_dishes;keyboard_typing,Google Pixel 9,mobile,bedroom,"Cleaning my bedroom with broom and moving my chairs and other utensils, while i replied quickly with keyboard on my computer",CC0 (Public Domain Dedication),abd5e9da61970247,
001386.wav,coffee_machine;wardrobe_drawer_open_close;cutlery_dishes,iPhone 14 Pro,static,kitchen,I turned on my coffee machine before opening my kitchen drawer to sort some cutlery. I closed the drawer again after I got done.,CC0 (Public Domain Dedication),4001ffe56d99b626,coffee_machine_beeping
001064.wav,light_switch;footsteps;cutlery_dishes,motorola_edge_40_neo,mobile,kitchen,"I actuate the light switch, then i went to the table and put dishes on it. I also used some cuttlery on the dishes.",CC0 (Public Domain Dedication),0f38b3343bdaf813,
002914.wav,window_open_close,Iphone 13,static,bedroom,I opened the window. Birds were singing. I closed the window shortly after.,CC0 (Public Domain Dedication),d1903c91eb223923,birds_singing
004315.wav,vacuum_cleaner;door_open_close;footsteps,Redmi 14 5G,static,living_room,"I am vacuuming the living room and as I finish, I turn it off. I then walk towards the my bedroom to check on if I shall vacuum it too.",CC0 (Public Domain Dedication),7927734e8f21eaff,human_voice
002697.wav,keyboard_typing;footsteps;wardrobe_drawer_open_close;door_open_close,iPhone 13,static,living_room,I type on the keyboard in the living room. I stand up and walk across the room. I open and close a wardrobe drawer and afterwards open and close the door.,CC0 (Public Domain Dedication),d82ddc086a949a48,chair_movement;paper_rustle
004930.wav,footsteps;window_open_close,Ray_Ban_Meta,mobile,office,"I walked to the window to close it and move the curtains. Then, I moved back to my working place",CC0 (Public Domain Dedication),ef2f2a29de91599e,curtain_move
004818.wav,toilet_flushing;running_water,iPhone 17,static,bathroom,"flushing the toilet, washing hands, drying them with a towel",CC0 (Public Domain Dedication),fd32a902f9861bd6,towel_rustle
002685.wav,door_open_close;keychain;footsteps,Iphone 15,static,bedroom,"I walked to the door of my bedroom, holding my keychain. Then I opened the door, went to the other side of it and closed it.",CC0 (Public Domain Dedication),b6510df984245bb9,
